Date received,"BANK OF AMERICA, NATIONAL ASSOCIATION",CAPITAL ONE FINANCIAL CORPORATION,"CITIBANK, N.A.","EQUIFAX, INC.",Experian Information Solutions Inc.,JPMORGAN CHASE & CO.,"Navient Solutions, LLC.",SYNCHRONY FINANCIAL,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",WELLS FARGO & COMPANY
2016-06-05,8.0,5.0,7.0,28.0,10.0,8.0,null,null,15.0,4.0
2016-06-06,38.0,11.0,32.0,56.0,47.0,28.0,12.0,3.0,53.0,26.0
2016-06-07,32.0,12.0,45.0,77.0,66.0,35.0,18.0,12.0,51.0,38.0
2016-06-08,47.0,13.0,53.0,62.0,54.0,35.0,10.0,11.0,44.0,39.0
2016-06-09,28.0,16.0,36.0,76.0,63.0,27.0,10.0,5.0,46.0,25.0
2016-06-10,36.0,10.0,38.0,45.0,47.0,27.0,8.0,8.0,35.0,30.0
2016-06-11,9.0,3.0,16.0,23.0,11.0,4.0,1.0,4.0,15.0,8.0
2016-06-12,12.0,5.0,20.0,18.0,17.0,10.0,5.0,4.0,11.0,4.0
2016-06-13,19.0,17.0,23.0,52.0,35.0,25.0,11.0,9.0,38.0,33.0
2016-06-14,44.0,12.0,33.0,63.0,40.0,26.0,11.0,8.0,49.0,43.0
2016-06-15,34.0,16.0,36.0,90.0,50.0,35.0,10.0,4.0,46.0,33.0
2016-06-16,43.0,13.0,41.0,44.0,50.0,29.0,11.0,9.0,45.0,32.0
2016-06-17,25.0,11.0,47.0,39.0,26.0,19.0,7.0,8.0,31.0,25.0
2016-06-18,11.0,6.0,27.0,19.0,14.0,13.0,2.0,5.0,17.0,5.0
2016-06-19,6.0,2.0,9.0,12.0,9.0,4.0,2.0,1.0,12.0,6.0
2016-06-20,31.0,16.0,41.0,54.0,58.0,26.0,8.0,10.0,41.0,26.0
2016-06-21,29.0,26.0,40.0,65.0,53.0,29.0,13.0,11.0,43.0,42.0
2016-06-22,29.0,18.0,42.0,54.0,45.0,26.0,7.0,12.0,43.0,34.0
2016-06-23,39.0,9.0,44.0,71.0,63.0,30.0,20.0,8.0,56.0,33.0
2016-06-24,39.0,14.0,26.0,50.0,27.0,22.0,13.0,8.0,28.0,32.0
2016-06-25,10.0,6.0,14.0,24.0,22.0,9.0,6.0,7.0,16.0,10.0
2016-06-26,9.0,7.0,9.0,25.0,20.0,2.0,2.0,3.0,22.0,4.0
2016-06-27,31.0,16.0,40.0,49.0,27.0,22.0,10.0,4.0,35.0,34.0
2016-06-28,41.0,6.0,45.0,70.0,54.0,32.0,6.0,8.0,53.0,29.0
2016-06-29,27.0,16.0,39.0,70.0,58.0,30.0,10.0,14.0,63.0,30.0
2016-06-30,34.0,11.0,50.0,50.0,90.0,30.0,8.0,5.0,50.0,29.0
2016-07-01,29.0,17.0,36.0,45.0,31.0,27.0,13.0,8.0,30.0,24.0
2016-07-02,8.0,3.0,15.0,23.0,24.0,4.0,2.0,2.0,19.0,12.0
2016-07-03,9.0,4.0,13.0,25.0,9.0,5.0,1.0,1.0,19.0,6.0
2016-07-04,5.0,3.0,18.0,19.0,13.0,10.0,3.0,3.0,15.0,6.0
2016-07-05,29.0,13.0,48.0,36.0,38.0,20.0,8.0,6.0,30.0,26.0
2016-07-06,23.0,16.0,50.0,83.0,74.0,24.0,6.0,17.0,236.0,34.0
2016-07-07,28.0,14.0,60.0,50.0,52.0,27.0,14.0,12.0,104.0,37.0
2016-07-08,36.0,16.0,42.0,52.0,27.0,29.0,15.0,14.0,45.0,23.0
2016-07-09,3.0,7.0,21.0,24.0,14.0,7.0,3.0,5.0,24.0,7.0
2016-07-10,9.0,2.0,20.0,21.0,20.0,5.0,1.0,8.0,22.0,5.0
2016-07-11,28.0,20.0,35.0,40.0,38.0,27.0,11.0,7.0,38.0,38.0
2016-07-12,35.0,12.0,47.0,53.0,49.0,35.0,16.0,10.0,47.0,25.0
2016-07-13,48.0,16.0,45.0,101.0,75.0,30.0,12.0,19.0,68.0,33.0
2016-07-14,24.0,15.0,33.0,50.0,57.0,27.0,12.0,9.0,61.0,33.0
2016-07-15,37.0,5.0,45.0,59.0,51.0,27.0,8.0,7.0,60.0,23.0
2016-07-16,6.0,3.0,18.0,29.0,22.0,4.0,3.0,9.0,30.0,9.0
2016-07-17,7.0,2.0,11.0,11.0,9.0,7.0,2.0,2.0,13.0,8.0
2016-07-18,25.0,5.0,42.0,41.0,48.0,28.0,4.0,8.0,50.0,18.0
2016-07-19,36.0,10.0,51.0,57.0,56.0,33.0,9.0,15.0,48.0,42.0
2016-07-20,35.0,16.0,37.0,55.0,47.0,22.0,10.0,7.0,38.0,32.0
2016-07-21,31.0,11.0,33.0,54.0,66.0,23.0,9.0,15.0,69.0,29.0
2016-07-22,21.0,14.0,46.0,70.0,60.0,26.0,13.0,9.0,42.0,38.0
2016-07-23,11.0,5.0,24.0,32.0,22.0,9.0,3.0,5.0,30.0,9.0
2016-07-24,7.0,2.0,21.0,21.0,13.0,6.0,1.0,1.0,21.0,5.0
2016-07-25,25.0,14.0,40.0,66.0,70.0,26.0,12.0,8.0,55.0,28.0
2016-07-26,40.0,21.0,47.0,109.0,107.0,38.0,16.0,16.0,67.0,38.0
2016-07-27,45.0,15.0,51.0,91.0,95.0,45.0,10.0,11.0,69.0,48.0
2016-07-28,32.0,17.0,44.0,82.0,78.0,27.0,13.0,6.0,52.0,30.0
2016-07-29,36.0,9.0,41.0,45.0,61.0,36.0,18.0,10.0,39.0,41.0
2016-07-30,11.0,3.0,10.0,13.0,17.0,8.0,4.0,2.0,17.0,7.0
2016-07-31,8.0,4.0,17.0,26.0,14.0,10.0,3.0,7.0,16.0,4.0
2016-08-01,27.0,21.0,26.0,34.0,53.0,23.0,7.0,12.0,21.0,14.0
2016-08-02,25.0,26.0,56.0,78.0,59.0,47.0,17.0,9.0,50.0,30.0
2016-08-03,30.0,13.0,40.0,76.0,71.0,36.0,16.0,7.0,50.0,47.0
2016-08-04,35.0,21.0,34.0,70.0,62.0,39.0,7.0,12.0,45.0,31.0
2016-08-05,31.0,11.0,36.0,45.0,37.0,20.0,9.0,7.0,43.0,31.0
2016-08-06,5.0,4.0,19.0,21.0,16.0,9.0,6.0,7.0,20.0,9.0
2016-08-07,12.0,6.0,14.0,17.0,24.0,5.0,2.0,2.0,19.0,5.0
2016-08-08,37.0,12.0,37.0,65.0,44.0,26.0,13.0,15.0,47.0,43.0
2016-08-09,33.0,18.0,37.0,71.0,63.0,29.0,19.0,11.0,47.0,41.0
2016-08-10,44.0,12.0,29.0,56.0,39.0,26.0,12.0,10.0,45.0,34.0
2016-08-11,33.0,16.0,31.0,73.0,48.0,36.0,17.0,20.0,51.0,37.0
2016-08-12,39.0,15.0,29.0,56.0,53.0,43.0,6.0,5.0,38.0,31.0
2016-08-13,6.0,6.0,19.0,29.0,19.0,6.0,5.0,7.0,16.0,10.0
2016-08-14,6.0,4.0,11.0,30.0,13.0,6.0,5.0,2.0,13.0,5.0
2016-08-15,28.0,13.0,30.0,50.0,56.0,29.0,5.0,13.0,35.0,24.0
2016-08-16,48.0,18.0,37.0,75.0,70.0,60.0,16.0,12.0,40.0,50.0
2016-08-17,44.0,16.0,36.0,60.0,52.0,25.0,7.0,8.0,53.0,30.0
2016-08-18,45.0,15.0,30.0,47.0,42.0,32.0,8.0,8.0,38.0,33.0
2016-08-19,31.0,12.0,36.0,56.0,41.0,27.0,8.0,14.0,29.0,22.0
2016-08-20,11.0,6.0,18.0,13.0,14.0,5.0,5.0,6.0,20.0,3.0
2016-08-21,6.0,2.0,12.0,22.0,13.0,9.0,2.0,4.0,9.0,3.0
2016-08-22,27.0,11.0,31.0,33.0,40.0,25.0,14.0,13.0,38.0,36.0
2016-08-23,49.0,14.0,37.0,62.0,51.0,49.0,10.0,10.0,46.0,50.0
2016-08-24,42.0,27.0,40.0,44.0,43.0,53.0,14.0,4.0,30.0,24.0
